
int	   end	   flow		cost

1	10293	1380.420000	0.112500;	
2	10294	1271.610000	0.125000;	
3	10295	154.180000	0.097500;	
4	10296	1223.550000	0.145000;	
5	10297	353.920000	0.125000;	
6	10298	732.010000	0.145000;	
7	10299	570.540000	0.112500;	
8	10300	161.220000	0.125000;	
9	10301	689.510000	0.110000;	
10	10302	209.470000	0.125000;	
11	10303	195.670000	0.112500;	
12	10304	210.270000	0.125000;	
13	10305	106.560000	0.110000;	
14	10306	428.570000	0.125000;	
15	10307	111.860000	0.110000;	
16	10308	198.840000	0.127500;	
17	10309	0.030000	0.110000;	
18	10310	540.230000	0.127500;	
19	10311	446.660000	0.107500;	
20	10312	141.040000	0.125000;	
21	10313	563.110000	0.107500;	
22	10314	1593.460000	0.125000;	
23	10315	440.250000	0.107500;	
24	10316	534.230000	0.125000;	
25	10317	493.920000	0.107500;	
26	10318	692.280000	0.125000;	
27	10319	507.370000	0.107500;	
28	10320	976.860000	0.232500;	
29	10321	429.620000	0.232500;	
30	10322	243.970000	0.230000;	
31	10323	363.300000	0.097500;	
32	10324	1990.470000	0.122500;	
33	10325	1619.630000	0.135000;	
34	10326	2193.060000	0.125000;	
35	10327	923.530000	0.075000;	
36	10328	2128.050000	0.125000;	
37	10329	2438.970000	0.105000;	
38	10330	1566.860000	0.125000;	
39	10331	4524.870000	0.120000;	
40	10332	1914.750000	0.125000;	
41	10333	3974.050000	0.137500;	
42	10334	2321.340000	0.125000;	
43	10335	3322.340000	0.125000;	
44	10336	779.170000	0.102500;	
45	10337	2540.960000	0.125000;	
46	10338	3831.610000	0.125000;	
47	10339	4205.770000	0.107500;	
48	10340	2153.960000	0.125000;	
49	10341	3603.100000	0.125000;	
50	10342	4770.600000	0.125000;	
51	10343	1880.990000	0.125000;	
52	10344	2315.650000	0.125000;	
53	10345	3222.060000	0.130000;	
54	4051	513.520000	0.030000;	
55	2447	653.420000	0.030000;	
56	4053	537.250000	0.030000;	
57	4056	321.570000	0.030000;	
