
int	   end	   flow		cost

1	2	5656.982676	6.002048;	
1	3	9134.252471	4.013923;	
2	1	5573.539107	6.001930;	
2	6	6085.960505	6.702505;	
3	1	9217.696040	4.014438;	
3	4	16142.891620	4.475361;	
3	12	12517.042569	4.049095;	
4	3	15894.166258	4.446734;	
4	5	19061.150531	2.396021;	
4	11	7633.193815	11.262073;	
5	4	18433.666243	2.346392;	
5	6	9011.122325	10.600086;	
5	9	16129.389783	10.076133;	
6	2	6002.516936	6.611036;	
6	5	8207.217683	8.541694;	
6	8	13225.884531	17.941773;	
7	8	12754.617849	6.149320;	
7	18	14712.870716	2.046859;	
8	6	12338.536320	14.075143;	
8	7	13142.459153	6.550206;	
8	9	7439.624652	17.064207;	
8	16	8468.757708	10.951305;	
9	5	16305.810137	10.301891;	
9	8	7153.018508	16.036938;	
9	10	22931.730864	6.318399;	
10	9	22921.545073	6.312507;	
10	11	19343.817669	15.500985;	
10	15	22571.316234	13.007955;	
10	16	11133.670919	20.595001;	
10	17	8330.017573	17.292680;	
11	4	8111.952742	12.711713;	
11	10	17951.688987	12.789015;	
11	12	8148.926538	12.834918;	
11	14	10836.587839	18.631391;	
12	3	12849.211500	4.054517;	
12	11	8030.795739	12.447124;	
12	13	14730.225796	3.047080;	
13	12	15044.263927	3.051225;	
13	24	10992.213436	17.037432;	
14	11	10141.348882	15.222724;	
14	15	8812.083031	11.542505;	
14	23	9154.403343	11.163419;	
15	10	22981.356135	13.531238;	
15	14	9133.326775	12.549979;	
15	19	18750.811589	4.236176;	
15	22	18014.484580	8.581658;	
16	8	8255.856946	10.375044;	
16	10	11862.666466	25.387156;	
16	17	12255.209570	11.045391;	
16	18	14724.810844	3.141033;	
17	10	8472.925017	17.946969;	
17	16	11765.035022	9.682760;	
17	19	10261.711651	8.143120;	
18	7	14325.029412	2.042110;	
18	16	15731.080176	3.183720;	
18	20	19047.333704	4.263249;	
19	15	18855.614384	4.264046;	
19	17	9914.444547	7.352828;	
19	20	9568.506989	12.030493;	
20	18	19565.761732	4.293101;	
20	19	9326.042681	11.246947;	
20	21	6940.357519	9.185649;	
20	22	7910.336306	9.424439;	
21	20	6933.297928	9.172707;	
21	22	8942.049154	4.563850;	
21	24	9406.688459	9.185490;	
22	15	18540.965430	9.263329;	
22	20	8093.359617	9.848348;	
22	21	9157.461797	4.819972;	
22	23	9443.153329	11.633776;	
23	14	8137.920642	8.473567;	
23	22	10368.070132	15.093356;	
23	24	9358.371502	5.459216;	
24	13	11206.251568	18.082927;	
24	21	9184.216225	8.620766;	
24	23	9266.805604	5.325805;	
